offerid, depart time, capacity,date,bus_id,driver_id
10002,9:00,50,,,
10002,10:00,50,,,
10002,11:00,50,,,
10002,12:00,50,,,
10002,13:00,50,,,
10002,14:00,50,,,
10002,15:00,50,,,
10002,16:00,50,,,
10002,17:00,50,,,
10002,18:00,50,,,
10002,19:00,50,,,
10002,20:00,50,,,
20001,8:00,50,,,
20001,9:00,50,,,
20001,10:00,50,,,
20001,11:00,50,,,
20001,12:00,50,,,
20001,13:00,50,,,
20001,14:00,50,,,
20001,15:00,50,,,
20001,16:00,50,,,
20001,17:00,50,,,
20001,18:00,50,,,
20001,19:00,50,,,
20001,20:00,50,,,
20005,10:30,50,,,
20005,12:30,50,,,
20006,10:30,50,,,
20506,8:30,50,,,
20004,8:30,50,,,
20004,9:30,50,,,
20004,10:30,50,,,
20004,11:30,50,,,
20004,13:30,50,,,
20004,14:30,50,,,
20007,11:30,50,,,
20407,8:30,50,,,
20407,9:30,50,,,
20003,9:00,50,,,
20003,10:00,50,,,
20003,11:00,50,,,
20003,12:00,50,,,
20003,13:00,50,,,
20003,14:00,50,,,
20003,15:00,50,,,
20003,16:00,50,,,
20003,17:00,50,,,
20003,18:00,50,,,
20008,9:00,50,,,
20008,10:00,50,,,
20008,11:00,50,,,
20008,12:00,50,,,
20008,13:00,50,,,
20008,14:00,50,,,
20008,15:00,50,,,
20008,16:00,50,,,
20008,17:00,50,,,
20009,9:00,50,,,
20009,10:00,50,,,
20009,11:00,50,,,
20009,12:00,50,,,
20009,13:00,50,,,
20009,14:00,50,,,
20009,15:00,50,,,
20009,16:00,50,,,
20009,17:00,50,,,
20010,13:00,50,,,
20011,9:00,50,,,
20011,10:00,50,,,
20011,11:00,50,,,
20011,12:00,50,,,
20011,13:00,50,,,
20011,14:00,50,,,
20011,15:00,50,,,
20011,16:00,50,,,
20011,17:00,50,,,
30002,8:00,50,,,
30002,9:00,50,,,
30002,10:00,50,,,
30002,11:00,50,,,
30002,12:00,50,,,
30002,13:00,50,,,
30002,14:00,50,,,
30002,15:00,50,,,
30002,16:00,50,,,
30002,17:00,50,,,
30002,18:00,50,,,
30004,9:00,50,,,
30004,10:00,50,,,
30004,11:00,50,,,
30004,13:00,50,,,
30004,14:00,50,,,
30007,11:00,50,,,
30005,10:00,50,,,
30005,12:00,50,,,
30001,9:00,50,,,
30001,10:00,50,,,
30001,11:00,50,,,
30001,12:00,50,,,
30001,13:00,50,,,
30001,14:00,50,,,
30001,15:00,50,,,
30001,16:00,50,,,
30001,17:00,50,,,
30001,18:00,50,,,
30011,9:00,50,,,
30011,10:00,50,,,
30011,11:00,50,,,
30011,12:00,50,,,
30011,13:00,50,,,
30011,14:00,50,,,
30011,15:00,50,,,
30011,16:00,50,,,
30011,17:00,50,,,
40002,11:30,50,,,
40002,12:30,50,,,
40002,13:00,50,,,
40002,14:30,50,,,
40002,15:30,50,,,
40002,16:30,50,,,
40002,17:20,50,,,
40008,11:30,50,,,
40008,12:30,50,,,
40008,13:00,50,,,
40008,14:30,50,,,
40008,15:30,50,,,
40003,13:00,50,,,
40003,15:30,50,,,
40007,12:30,50,,,
80002,9:00,50,,,
80002,10:00,50,,,
80002,11:00,50,,,
80002,12:00,50,,,
80002,13:00,50,,,
80002,14:00,50,,,
80002,15:00,50,,,
80002,16:00,50,,,
80002,17:00,50,,,
90002,9:00,50,,,
90002,10:00,50,,,
90002,11:00,50,,,
90002,12:00,50,,,
90002,13:00,50,,,
90002,14:00,50,,,
90002,15:00,50,,,
90002,16:00,50,,,
90002,17:00,50,,,
90008,9:00,50,,,
90008,10:00,50,,,
90008,11:00,50,,,
90008,12:00,50,,,
90008,13:00,50,,,
90008,14:00,50,,,
90008,15:00,50,,,
90008,16:00,50,,,
90008,17:00,50,,,
110002,9:00,50,,,
110002,10:00,50,,,
110002,11:00,50,,,
110002,12:00,50,,,
110002,13:00,50,,,
110002,14:00,50,,,
110002,15:00,50,,,
110002,16:00,50,,,
110002,17:00,50,,,
110003,9:00,50,,,
110003,10:00,50,,,
110003,11:00,50,,,
110003,12:00,50,,,
110003,13:00,50,,,
110003,14:00,50,,,
110003,15:00,50,,,
110003,16:00,50,,,
110003,17:00,50,,,
