offerid, sku_id, sku_type, category, sequence
800022,80002,R,,1
900022,90002,R,,1
900082,90008,R,,1
1100022,110002,R,,1
1100032,110003,R,,1
100020,10002,R,,1
100020,2,T,全价,2
100021,10002,R,,1
100021,2,T,半价,2
100022,10002,R,,1
200010,20001,R,,1
200050,2005,R,,1
200050,5,T,全价,2
200051,20005,R,,1
200051,5,T,半价,2
200052,20005,R,,1
200060,20006,R,,1
200060,6,T,全价,2
200061,20006,R,,1
200061,6,T,半价,2
200062,20006,R,,1
205060,20506,R,,1
205060,5,T,全价,2
205060,6,T,全价,3
205061,20506,R,,1
205061,5,T,半价,2
205061,6,T,半价,3
205062,20506,R,,1
200040,20004,R,,1
200040,4,T,全价,2
200041,20004,R,,1
200041,4,T,半价,2
200042,20004,R,,1
200070,20007,R,,1
200070,7,T,全价,2
200071,20007,R,,1
200071,7,T,半价,2
200072,20007,R,,1
204070,20407,R,,1
204070,4,T,全价,2
204070,7,T,全价,3
204071,20407,R,,1
204071,4,T,半价,2
204071,7,T,半价,3
204072,20407,R,,1
200030,20003,R,,1
200080,20008,R,,1
200080,8,T,全价,2
200081,20008,R,,1
200081,8,T,半价,2
200082,20008,R,,1
200090,20009,R,,1
200090,9,T,全价,2
200091,20009,R,,1
200091,9,T,半价,2
200092,20009,R,,1
200100,20010,R,,1
200100,10,T,全价,2
200101,20010,R,,1
200101,10,T,半价,2
200102,20010,R,,1
300020,30002,R,,1
300020,3,T,全价,2
300021,30002,R,,1
300021,3,T,半价,2
300022,30002,R,,1
300040,30004,R,,1
300040,4,T,全价,2
300041,30004,R,,1
300041,4,T,半价,2
300042,30004,R,,1
300070,30007,R,,1
300070,7,T,全价,2
300071,30007,R,,1
300071,7,T,半价,2
300072,30007,R,,1
300050,30005,R,,1
300050,5,T,全价,2
300051,30005,R,,1
300051,5,T,半价,2
300052,30005,R,,1
300010,30001,R,,1
400020,40002,R,,1
400020,4,T,全价,2
400021,40002,R,,1
400021,4,T,半价,2
400022,40002,R,,1
400080,40008,R,,1
400080,8,T,全价,2
400081,40008,R,,1
400081,8,T,半价,2
400082,40008,R,,1
400030,40003,R,,1
400070,40007,R,,1
400070,7,T,全价,2
400071,40007,R,,1
400071,7,T,半价,2
400072,40007,R,,1
