route_id, departure_spot_id, arrival_spot_id, to_label, distance, description, duration, drive_time, base_price
10002,1,2,武侯祠/锦里,25,机场到武侯祠/锦里,150,40,15
20005,2,5,都江堰(往返),75,武侯祠/锦里到都江堰,360,90,58
20006,2,6,青城山(往返),86,武侯祠/锦里到青城山,390,110,58
20506,2,6,都江堰+青城山(往返),97,武侯祠/锦里到都江堰+青城山,510,130,88
20004,2,4,熊猫基地(往返),25,武侯祠/锦里到熊猫基地,180,40,40
20007,2,7,三星堆博物馆(往返),65,武侯祠/锦里到三星堆博物馆,210,80,58
20407,2,7,熊猫基地+三星堆(往返),75,武侯祠/锦里到熊猫基地+三星堆,450,80,98
20010,2,10,极地海洋世界(往返),28,武侯祠/锦里到海洋世界,210,50,20
20003,2,3,宽窄巷子,4,武侯祠/锦里到宽窄巷子,120,15,6
20008,2,8,杜甫草堂,3.5,武侯祠/锦里到杜甫草堂,120,10,6
20009,2,9,金沙遗址博物馆,8,武侯祠/锦里到金沙遗址博物馆,120,20,8
20011,2,11,永陵博物馆,8,武侯祠/锦里到永陵博物馆,120,20,8
20001,2,1,双流机场,25,武侯祠/锦里到机场,40,40,15
30002,3,2,武侯祠/锦里,4,宽窄巷子到武侯祠/锦里,120,15,6
30004,3,4,熊猫基地,21,宽窄巷子到熊猫基地,210,40,40
30011,3,11,永陵博物馆,8,宽窄巷子到永陵博物馆,120,20,8
30007,3,7,三星堆博物馆,60,宽窄巷子到三星堆博物馆,240,90,58
30005,3,5,都江堰,70,宽窄巷子到都江堰,390,100,58
40002,4,2,武侯祠/锦里,25,熊猫基地到武侯祠/锦里,180,40,40
40003,4,3,宽窄巷子,21,熊猫基地到宽窄巷子,40,40,40
40007,4,7,三星堆博物馆(往返),40,熊猫基地到三星堆博物馆,180,90,58
40008,4,8,杜甫草堂,28,熊猫基地到杜甫草堂,180,60,15
80004,8,4,熊猫基地,28,杜甫草堂到熊猫基地,60,60,15
80002,8,2,武侯祠/锦里,3.5,杜甫草堂到武侯祠/锦里,10,10,6
90002,9,2,武侯祠/锦里,8,金沙遗址博物馆到武侯祠/锦里,20,20,8
90008,9,8,杜甫草堂,8,金沙遗址博物馆到杜甫草堂,20,20,8
100002,10,2,武侯祠/锦里,28,海洋世界到武侯祠/锦里,50,50,20
110002,11,2,武侯祠/锦里,28,永陵博物馆到武侯祠/锦里,50,50,20
110003,11,3,宽窄巷子,28,永陵博物馆到宽窄巷子,50,50,20
30001,3,1,双流机场,29,宽窄巷子到机场,60,60,15

